Id,Label,Latitude  ,Longitude  ,Time Interval
Eritrea,Eritrea,15,39,"<[9.465696E11, 9.465696E11]; [1.3252608E12, 1.3252608E12]>"
Estonia,Estonia,59,26,"<[7.257312E11, 7.257312E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Ethiopia,Ethiopia,8,38,"<[9.465696E11, 9.465696E11]; [1.1674944E12, 1.1674944E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.3252608E12, 1.3252608E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Fiji,Fiji,-18,175,"<[6.941088E11, 6.941088E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.465696E11, 9.465696E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2937248E12, 1.2937248E12]; [1.3568832E12, 1.3568832E12]; [1.4199552E12, 1.4199552E12]>"
Finland,Finland,64,26,"<[5.048064E11, 5.048064E11]; [5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
France,France,46,2,"<[4.732704E11, 4.732704E11]; [5.048064E11, 5.048064E11]; [5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Gabon,Gabon,-1,11.75,"<[6.941088E11, 6.941088E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1990304E12, 1.1990304E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Gambia,Gambia,13.4667,-16.5667,"<[1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]>"
Georgia,Georgia,42,43.5,"<[9.78192E11, 9.78192E11]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.4199552E12, 1.4199552E12]>"
Germany,Germany,51,9,"<[4.732704E11, 4.732704E11]; [5.048064E11, 5.048064E11]; [5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Ghana,Ghana,8,-2,"<[7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Greece,Greece,39,22,"<[6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Grenada,Grenada,12.1167,-61.6667,"<[8.834976E11, 8.834976E11]>"
Guatemala,Guatemala,15.5,-90.25,"<[6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.572672E11, 7.572672E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Guinea,Guinea,11,-10,"<[9.78192E11, 9.78192E11]; [1.0728E12, 1.0728E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Guyana,Guyana,5,-59,"<[7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.834976E11, 8.834976E11]; [1.0728E12, 1.0728E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.4199552E12, 1.4199552E12]>"
Haiti,Haiti,19,-72.4167,"<[9.150336E11, 9.150336E11]; [1.2621888E12, 1.2621888E12]>"
Honduras,Honduras,15,-86.5,"<[6.941088E11, 6.941088E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.1990304E12, 1.1990304E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Hungary,Hungary,47,20,"<[6.310368E11, 6.310368E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Iceland,Iceland,65,-18,"<[6.941088E11, 6.941088E11]; [8.519616E11, 8.519616E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
India,India,20,77,"<[5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Indonesia,Indonesia,-5,120,"<[5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Iraq,Iraq,33,44,"<[5.995008E11, 5.995008E11]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]>"
Israel,Israel,31.5,34.75,"<[4.732704E11, 4.732704E11]; [5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Italy,Italy,42.8333,12.8333,"<[4.732704E11, 4.732704E11]; [5.048064E11, 5.048064E11]; [5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Jamaica,Jamaica,18.25,-77.5,"<[6.625728E11, 6.625728E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.1044224E12, 1.1044224E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.4199552E12, 1.4199552E12]>"
Japan,Japan,36,138,"<[4.732704E11, 4.732704E11]; [5.048064E11, 5.048064E11]; [5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Jordan,Jordan,31,36,"<[7.888032E11, 7.888032E11]; [9.150336E11, 9.150336E11]; [9.78192E11, 9.78192E11]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]>"
Kazakhstan,Kazakhstan,48,68,"<[6.310368E11, 6.310368E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Kenya,Kenya,1,38,"<[6.310368E11, 6.310368E11]; [6.941088E11, 6.941088E11]; [9.78192E11, 9.78192E11]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Kuwait,Kuwait,1.4167,173,"<[4.732704E11, 4.732704E11]; [5.363424E11, 5.363424E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Kyrgyzstan,Kyrgyzstan,41,75,"<[1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]>"
Latvia,Latvia,57,25,"<[7.572672E11, 7.572672E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Lebanon,Lebanon,33.8333,35.8333,"<[5.048064E11, 5.048064E11]; [7.572672E11, 7.572672E11]; [8.834976E11, 8.834976E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.041264E12, 1.041264E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Lesotho,Lesotho,-29.5,28.5,"<[1.1674944E12, 1.1674944E12]; [1.4199552E12, 1.4199552E12]>"
Liberia,Liberia,6.5,-9.5,"<[6.310368E11, 6.310368E11]; [7.257312E11, 7.257312E11]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]>"
Libya,Libya,25,17,"<[5.363424E11, 5.363424E11]; [6.625728E11, 6.625728E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [1.009728E12, 1.009728E12]; [1.0728E12, 1.0728E12]; [1.1674944E12, 1.1674944E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]>"
Liechtenstein,Liechtenstein,47.1667,9.5333,"<[5.048064E11, 5.048064E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [7.257312E11, 7.257312E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [1.009728E12, 1.009728E12]; [1.0728E12, 1.0728E12]; [1.3568832E12, 1.3568832E12]; [1.4199552E12, 1.4199552E12]>"
Lithuania,Lithuania,56,24,"<[7.888032E11, 7.888032E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Luxembourg,Luxembourg,49.75,6.1667,"<[5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Madagascar,Madagascar,-20,47,"<[9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [1.0728E12, 1.0728E12]; [1.1674944E12, 1.1674944E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]>"
Malawi,Malawi,-13.5,34,"<[8.519616E11, 8.519616E11]; [1.041264E12, 1.041264E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2621888E12, 1.2621888E12]; [1.4199552E12, 1.4199552E12]>"
Malaysia,Malaysia,2.5,112.5,"<[5.363424E11, 5.363424E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Maldives,Maldives,3.25,73,"<[1.1359584E12, 1.1359584E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
